segment f1 f2
a 543.8798124803602 1316.8168781145512
a 544.5634542032833 1623.0455597136006
a 544.7662689076785 1578.3626591987465
a 550.6753189429836 1655.3124214515117
a 552.2130500035072 1809.4046996096845
a 552.8183319181313 1662.8084115006002
a 553.0751692866014 932.4438161111568
a 554.9026422684241 1413.149278075041
a 556.2214708861642 1595.5596085673888
a 556.3964097621916 1574.6518670998141
a 558.2858357074712 1458.8086417588618
a 562.091219630103 1678.5228044120915
a 563.354647346992 1580.069675432384
a 564.8345850261039 1688.4933542742863
a 567.5115223372871 1427.8083362508823
a 568.4819477004932 1502.47444819115
a 570.3602678517684 1660.1797183179067
a 571.3655309203516 1629.7450236965396
a 572.1715052912512 1550.6038369306364
a 573.1829861519808 1165.8649437337644
a 573.306655210046 1424.821007100114
a 579.1053636802486 1295.2632896555676
a 580.0072589056037 1622.3455592195292
a 581.5043187684968 1594.2397310592874
a 581.5574504221263 1204.6180349935485
a 581.6357531527551 1520.5463527128659
a 582.8754105296439 1536.6408214571363
a 585.5857274768233 1121.7446556819468
a 586.7713903194267 1691.9588072569709
a 589.1229047948275 1416.4349593065776
a 589.195765970289 1419.0642342121253
a 590.0508372734677 1384.4559380191977
a 593.2631813957391 1443.549148681828
a 593.3023306423296 1550.3466691187452
a 593.9422782787308 1133.4019634305776
a 595.7548209154522 1180.886913026372
a 595.8256211087303 1334.323542516722
a 596.1221450244676 1564.2767551074014
a 601.3140525628454 1454.333780192392
a 601.7949646270712 1513.2853580177089
a 608.279831600776 937.0362373902703
a 608.4962321280354 1490.7668428136692
a 610.8082719374734 1438.6800223665189
a 612.2843365307924 1589.3955127005627
a 614.7428896935456 1389.9901722061766
a 615.869492724707 1405.9118770811847
a 620.2164484358395 1482.49579751719
a 621.3825222911893 1368.8720511029812
a 622.5416419885125 1394.2012987593857
a 625.7981787622955 1501.1895924952016
a 628.7204259198161 1370.2859379468528
a 631.3697031802996 1231.4706182022674
a 633.8830444826971 1361.516820135941
a 634.5070545436647 1242.5810345998964
a 647.3624887777175 2060.3119033635057
a 652.7495318957516 1086.8674566317513
a 654.941122519578 1280.9001659515739
a 661.9612099916217 1229.5700388639582
a 670.2411504726522 1268.9615731670795
a 680.3044088044311 1339.269648579946
a 687.2771817880084 1195.8887981965859
a 696.2824514142134 976.4811476269664
a 708.1116828872956 1324.6672297563152
a 783.782389076686 2650.306598456368
a 817.2032461906115 2384.907746112235
a~ 1563.8768171285722 2866.84000662468
a~ 214.2550102970164 1995.5463601530728
a~ 223.42801656581742 2123.1835302631935
a~ 232.5337783737926 1892.6459404263203
a~ 296.1231951398289 856.9155674334031
a~ 362.1810921871773 595.9727512265473
a~ 369.62615440982 1269.7917061219682
a~ 374.3413953391964 1627.1209662191186
a~ 390.3925433779103 1072.913761102603
a~ 390.7960867958726 959.4600841118581
a~ 392.8627627421043 897.4329269743456
a~ 393.65769676211255 633.6344658416674
a~ 399.5125062229911 796.2227715952762
a~ 407.5047203881064 724.3211644000069
a~ 420.04527936250736 498.9653458675248
a~ 420.4568431510583 1645.000456034558
a~ 432.230560877266 947.0631855522919
a~ 434.5232312256876 726.8780768082106
a~ 440.652478151859 890.4164332361617
a~ 441.3771101769234 943.3865276060233
a~ 443.6737006169345 787.7531778289308
a~ 443.7946629601608 1309.782822426435
a~ 443.98776696337984 834.9501009088945
a~ 448.75953158906555 852.668190821688
a~ 449.7501074374958 704.0209397877311
a~ 450.29062054366364 925.2570099898451
a~ 450.8031995225977 1099.6180038273046
a~ 451.4334677028336 913.5642928746422
a~ 451.9168539397054 911.9397075440834
a~ 452.13133142157307 771.8683697401001
a~ 456.8056777058406 955.4906447522073
a~ 459.3003254639698 1109.5158304407196
a~ 463.6377364287731 742.3842724377776
a~ 464.0429303592192 815.6167060083478
a~ 464.34811254510157 796.327953103403
a~ 464.6061404205186 752.920863324586
a~ 464.7218976669513 921.302895606082
a~ 476.1491666498109 1003.8741946543834
a~ 478.8319656942109 924.1902633539003
a~ 479.8887397797513 834.1472528661945
a~ 481.55488171081134 895.8910162860026
a~ 482.59168901539897 710.2945735680302
a~ 488.5090804489747 2660.7159153582325
a~ 493.34799752386635 876.9311252624443
a~ 493.8312041753327 872.5211475383754
a~ 493.8406288086173 909.1208900127268
a~ 495.27249748293747 870.5109732369966
a~ 495.5637041016289 857.167183183639
a~ 495.5671591572783 890.9015337920957
a~ 500.6479508990033 999.8945952204915
a~ 504.91364640812174 628.9556762317465
a~ 505.9863960456132 876.5046365725109
a~ 506.3761032119642 550.5708703743314
a~ 507.44168968963027 818.4154718090205
a~ 511.16657247859143 873.3367858927343
a~ 518.6468710803458 954.2178640406456
a~ 519.1538093923741 824.4412830482343
a~ 522.9631000323575 710.1666908244165
a~ 525.2556111074383 796.6659435360989
a~ 526.0934802893795 1606.410124611962
a~ 531.0596200169363 725.024473410624
a~ 534.5999337969467 819.8383168066375
a~ 534.9827055536708 877.8264708492289
a~ 537.5784255009594 685.7005226711658
a~ 538.473739257631 671.3166277037488
a~ 538.9892517534041 1722.8145907827866
a~ 548.651217767831 827.1599249863149
a~ 554.6997819478219 815.1641258438761
a~ 566.8645543001284 970.263332079003
a~ 567.967916143481 815.5763714144334
a~ 573.3642345919479 587.1820870763456
a~ 594.9359584729862 676.629833133415
a~ 599.6061080053429 657.5631394449287
a~ 605.7367412861762 634.0952623392583
a~ 645.5318522681308 1040.539927884779
a~ 657.7235715415968 1223.1619556371113
e 247.72608226042215 1179.5252486589259
e 258.6783340815193 1969.1327836411813
e 279.1381500447362 1384.8700151236787
e 323.55666072811357 1885.9445986002388
e 327.6535758360238 2009.7867589593939
e 329.62383771992285 2030.2171425912993
e 334.2956585002223 2104.726827502784
e 344.34959288967235 2160.5688276792043
e 345.8026689602633 1749.874553090361
e 349.5226398891401 1942.0725192891223
e 350.3600247357749 1882.6926323439848
e 351.9963798450124 1899.6403078511964
e 354.0728459938794 1870.2347060028999
e 354.12860005442707 1932.7472983282694
e 354.263125208756 2080.8671085127207
e 357.58061308246073 1868.5556423524674
e 359.50990152375715 1938.3331874326589
e 360.5972220759653 1906.5884723391373
e 362.060927551706 1860.577920819185
e 366.2467442241776 1970.6769309808278
e 367.2851091056354 1817.670038033007
e 368.19736592960277 1977.043950781839
e 368.2031375758158 1859.518492005962
e 368.6334592766299 1973.616048544762
e 371.68078349710737 1941.350067088108
e 372.5912430339136 2018.4371086541325
e 374.9172084583463 1939.551206392445
e 375.1049912496806 1919.1060769031658
